PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Steven Adams,HOU,31,7,3,4,22.1,115.4,101.4,14.1,3.8,0.8,9.1,14.6,13.3,13.9,11.4,60,60.2,10.9,92.11,10.1,298
Fred VanVleet,HOU,31,7,3,4,40,115.3,111.4,3.9,17.3,2.38,21.4,1,8.8,5,9,57.5,63.2,17.5,93.17,11.1,544
Giannis Antetokounmpo,MIL,30,5,1,4,37.6,115.1,122.1,-7,34.7,1.43,18.1,10.1,34.1,21.5,12.6,61.1,65.1,35.2,97.24,21.1,377
Evan Mobley,CLE,23,8,5,3,32.1,115,114.6,0.3,8.2,1.18,10.7,7.4,18.6,12.5,9,66.7,69.9,17.6,97.66,14.6,527
Jalen Green,HOU,23,7,3,4,31.3,115,109.4,5.6,13.5,2,16,1.4,14,8.1,8,44.8,48.2,20.8,95.15,9.3,434
Dillon Brooks,HOU,29,7,3,4,29.4,114.8,111.4,3.4,6.6,1,9.7,4.7,6.2,5.5,9.7,52.4,58.5,18.5,91.65,5.7,391
Aaron Gordon,DEN,29,14,7,7,37.3,114.7,113.9,0.8,10.8,1.46,15,9.7,10.4,10,10.3,55.1,60.1,17.5,96.11,9.6,1051
Pascal Siakam,IND,31,10,8,2,32.1,114.5,104.4,10.1,15,2.58,16,2,15,9.1,6.2,60.1,61.4,22.2,99.81,13.1,669
Jalen Brunson,NYK,28,12,8,4,39,114.4,112.5,1.9,33.6,2.97,21.3,2.4,7.5,4.9,7.2,50.2,55.9,30.7,96.62,14.1,947
Isaiah Hartenstein,OKC,27,11,8,3,25.8,114.3,103.5,10.8,14.5,2.21,23,11.3,19.9,15.4,10.4,60.5,61.6,15.1,100.94,12.8,593
Nicolas Batum,LAC,36,7,3,4,24.5,114.3,113.6,0.7,11.1,4.67,28,2.3,14.1,8.1,6,59.1,59.1,9.3,93.93,7.9,335
Jayson Tatum,BOS,27,8,4,4,40.2,114.2,101.8,12.4,25.1,1.65,16.2,2.9,23.3,13.7,9.8,50.6,56.6,31.2,92.52,20.2,620
James Harden,LAC,35,7,3,4,39.4,113.9,118.5,-4.6,34.6,3.05,32.2,1.5,12.8,7.1,10.6,51.5,56.7,22.5,92.4,12.3,531
Isaiah Joe,OKC,25,11,8,3,11.1,113.8,100.4,13.4,12.8,2.75,18.3,4.3,5.6,4.9,6.7,63.1,65,15.9,104.46,10.8,269
Jamal Murray,DEN,28,14,7,7,41.3,113.6,112,1.6,19.8,1.66,18.7,1.5,9.7,5.7,11.3,51.2,55.5,23.3,96.09,10.4,1163
Miles McBride,NYK,24,12,8,4,19.3,113.6,107.4,6.2,7.4,2.4,14.5,0.8,4.1,2.4,6,53.2,54.1,12.7,96.02,5.6,464
Jaylen Brown,BOS,28,11,6,5,36.6,113.3,105.5,7.8,19.9,1.1,14.1,3.2,15.4,9.4,12.7,49.5,54.2,29.2,93.11,12.5,780
Naz Reid,MIN,25,10,8,2,25.3,113.1,107.4,5.8,9.5,1,14.8,2.7,12.5,7.4,14.8,67.3,68.1,16.2,98.31,9.3,518
Luguentz Dort,OKC,26,11,8,3,26.7,113,107.2,5.8,4.4,1,8.8,4.9,6.7,5.8,8.8,44.9,47.3,14.5,101.49,2.9,617
Tim Hardaway Jr.,DET,33,6,2,4,31.4,112.9,110.6,2.3,5.2,0.78,7.9,1.1,7.4,4.3,10.1,45.1,47.7,18.3,96.86,4.1,381
Terrence Shannon Jr.,MIN,24,5,3,2,3.7,112.5,90,22.5,15.4,0,25,5.3,22.2,13.5,0,33.3,33.3,12.5,104.11,10.6,40
Norman Powell,LAC,31,7,3,4,34,112.4,119.3,-6.8,10.8,1.42,13.6,0.4,7,3.7,9.6,55.1,57.8,20.8,92.45,7.5,459
Craig Porter Jr.,CLE,25,6,4,2,5.9,112.3,76.3,36,37.5,4.5,39.1,8.6,6.8,7.6,8.7,50,50,17.1,100.87,15.4,73
Derrick White,BOS,30,11,6,5,37.8,112,109.1,2.9,15.8,3,18.2,3.4,9.8,6.7,6.1,59.9,63.6,19.1,92.58,13,800
Baylor Scheierman,BOS,24,4,3,1,5.6,111.9,114.3,-2.4,0,0,0,3.8,15.8,8.9,9.1,40,40,21.6,90.4,1.7,42
Michael Porter Jr.,DEN,26,14,7,7,31.1,111.8,116.3,-4.5,2.9,0.69,6.1,3.1,14.4,8.7,8.8,49.2,50.7,13.6,96.37,5.7,882
Luka Dončić,LAL,26,5,1,4,41.6,111.7,117.4,-5.7,26.9,1.45,16.7,1,14.5,8.3,11.5,52.9,60.8,32.1,92.71,15.7,401
Christian Braun,DEN,24,14,7,7,38.9,111.5,112.3,-0.9,9.1,2.43,16.1,4.5,11.1,7.9,6.6,52.4,54.8,13.9,97.07,7.2,1099
Rudy Gobert,MIN,32,10,8,2,28,111.4,101.8,9.5,1.6,0.33,3.4,10.7,21.7,16.2,10.3,60.7,61.2,13,93.51,11.1,545
Kristaps Porziņģis,BOS,29,11,6,5,21,111.3,110.7,0.6,5.5,0.8,6.9,9.3,12,10.7,8.6,34.2,43,20.7,93.38,5.6,451
Nikola Jokić,DEN,30,14,7,7,40.2,111.3,112.8,-1.5,34.8,2.04,23.3,4.9,25,15,11.4,53.9,58.7,27.8,96.48,18,1134
Gary Trent Jr.,MIL,26,5,1,4,34.2,111.2,114.7,-3.5,5.5,2,8.1,0.6,5.9,3.2,4.1,69.4,70.8,17.4,98.46,10.9,348
Alperen Sengun,HOU,22,7,3,4,36.6,111,104,7,26.6,2.47,18.3,7.7,22.5,15.2,7.4,46.2,49.1,27.8,93.66,15.7,499
Josh Hart,NYK,30,12,8,4,37,110.8,109.5,1.3,20.5,2.82,28.6,5.9,16.2,11,10.1,55.8,60.1,15,95.78,12.4,890
Al Horford,BOS,38,11,6,5,31.6,110.4,108.3,2.1,8.8,2.86,19.6,5,13,9.1,6.9,56.9,58.6,10.6,93.06,8.5,672
Amen Thompson,HOU,22,7,3,4,33.1,110.2,109.6,0.6,16.4,1.92,16.9,7.9,11.6,9.8,8.8,50,54.5,20.8,95.53,11.6,461
Ausar Thompson,DET,22,6,2,4,22.5,110.2,103.8,6.3,6.8,0.55,8,6,15.8,11.1,14.7,57.1,59.6,21.3,99.82,8.8,275
Buddy Hield,GSW,32,12,5,7,27.3,110.1,110.4,-0.3,10.2,1.62,12.7,5.2,7.8,6.4,7.9,54.8,57.2,18.7,96.82,8.7,664
Karl-Anthony Towns,NYK,29,12,8,4,35.7,110,110.1,-0.1,5,0.54,5.5,5.5,25.6,15.3,10.1,52.2,57.8,22.5,96.12,13.8,864
Mitchell Robinson,NYK,27,12,8,4,18.5,109.8,101.3,8.5,2.5,0.44,6,18.2,15.9,17.1,13.4,50,47.9,11.6,97.2,7.2,449
T.J. McConnell,IND,33,10,8,2,16.6,109.8,112.3,-2.5,41.5,3.14,33.1,3.9,14.8,9.7,10.5,54.3,57.9,23.4,100.62,16.1,347
Gabe Vincent,LAL,28,5,1,4,19.7,109.7,111.7,-2,6.9,5,25,0,5,2.6,5,50,50,6.6,100.44,2.1,207
Bennedict Mathurin,IND,22,9,7,2,17.2,109.5,108.9,0.5,5.1,0.45,5.5,2.8,8.6,6.1,12.1,54.8,63.2,24.3,102.96,9.8,328
Jrue Holiday,BOS,34,8,4,4,33,109.3,106.9,2.4,19.8,2,28.6,4.2,7.5,5.8,14.3,55.8,57.8,13.5,92.55,7.6,508
Cade Cunningham,DET,23,6,2,4,41.3,109.1,107.6,1.5,37.1,1.63,22.4,2.4,17,9.9,13.8,44.6,50.9,30.4,99.68,14.5,515
Dorian Finney-Smith,LAL,32,5,1,4,33.9,109.1,112.1,-3,11.1,2.6,27.7,6.3,5.8,6,10.6,53.4,53.4,9,93.62,3.8,331
Bogdan Bogdanović,LAC,32,7,3,4,16.8,108.9,103.9,5,18.5,1.36,20.5,4.1,12.8,8.4,15.1,44.3,47.8,21.1,95.91,3.8,237
LeBron James,LAL,40,5,1,4,40.7,108.7,119.3,-10.5,27.5,2.15,19.4,6.3,15.6,11.2,9,54.5,60.1,26.2,91.66,18.5,389
Trayce Jackson-Davis,GSW,25,9,2,7,8.9,108.6,123.6,-15,3.8,2,7.4,9.3,17.1,12.6,3.7,88.9,78,12.1,97,10.7,163
OG Anunoby,NYK,27,12,8,4,40,108.5,112.1,-3.5,4.7,0.68,6.9,3.1,8.9,5.9,10.2,48.5,52.8,17.9,97.27,7.4,975
Pat Spencer,GSW,28,8,2,6,7.9,108.3,105.3,3,15.8,1,15.8,7.6,8.7,8.1,15.8,66,68.4,20.1,99.87,14.1,132
Donte DiVincenzo,MIN,28,10,8,2,25.8,108.3,109.9,-1.6,18.8,1.84,24,3.4,9.1,6.2,13,41.4,43.6,17.6,101.34,4.9,544
Ben Sheppard,IND,23,8,6,2,13,107.8,112.8,-5,1.3,0.25,3.6,3,10.2,6.6,14.3,59.1,61.2,11.4,100.28,3.1,217
Tobias Harris,DET,32,6,2,4,38.8,107.6,110.2,-2.5,2.1,0.5,3.5,3.3,15.6,9.5,7,54.9,60.2,15.1,98.38,10.6,472
Gui Santos,GSW,22,10,4,6,7.2,107.5,106.7,0.8,15.4,1.33,23.5,4.3,14.1,9,17.6,64.7,66.2,14.1,103.71,7.7,160
Dennis Schröder,DET,31,6,2,4,27.4,107.4,110.2,-2.8,23.2,3.14,24.4,2.7,5.7,4.3,7.8,58.5,62.5,17.8,99.63,11.8,339
Tyler Herro,MIA,25,4,0,4,36,107.1,137.8,-30.7,12.4,1.22,12.2,0,11,5.2,10,48.5,51.2,24.8,94.31,5.6,283
DeAndre Jordan,DEN,36,7,3,4,5.1,106.9,125,-18.1,7.1,1,22.2,3.6,25.8,15.3,22.2,100,63,8.8,96.93,1.4,72
Brandin Podziemski,GSW,22,12,5,7,32.1,106.9,109.6,-2.7,15.1,2.06,18.7,4,11.7,7.7,9.1,44.7,47.3,18.3,95.38,8,770
Paolo Banchero,ORL,22,5,1,4,39.4,106.8,115.2,-8.5,22.1,1.4,11.7,5.7,16.5,10.7,8.4,48.4,51.7,36.5,90.55,13.5,370
Bam Adebayo,MIA,27,4,0,4,38.4,106.7,132.4,-25.7,17.5,1.42,17.3,10.7,19.9,15.1,12.2,49.2,50.8,24,93.06,10.1,299
Mikal Bridges,NYK,28,12,8,4,39.8,106.6,110.8,-4.3,11.7,1.48,14.5,2.4,9.5,5.9,9.8,51.1,51.9,18.2,96.09,9.4,959
Jalen Duren,DET,21,6,2,4,33.9,106.4,111.3,-5,16.3,2.1,25.9,12.5,18,15.3,12.3,65,70.8,12.7,97.08,13.3,408
